127.0.0.1 - - [10/Apr/2023:19:02:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:32 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:33 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:40:13 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 500 2240
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:11 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:16 +0530] "GET /jspdemo/todo-demo.jsp?theItem=rohan HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:20 +0530] "GET /jspdemo/todo-demo.jsp?theItem=2 HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:29 +0530] "GET /jspdemo/todo-demo.jsp?theItem=goraksh HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:30 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:31 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:31 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:31 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:32 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:33 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:33 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:33 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:33 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:34 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:22:42:35 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [10/Apr/2023:23:40:52 +0530] "GET /jspdemo/cookies-personalize-form.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [10/Apr/2023:23:40:57 +0530] "GET /jspdemo/cookies-personalize-form.jsp?favouriteLanguage=C%23 HTTP/1.1" 404 758
